Year,Period,Geo_Level,State_ANSI,Commodity_ID,Domain,Value,clean_value
2021,FEB,STATE,46,6,TOTAL,"40,650,000",40650000
2021,FEB,STATE,50,6,TOTAL,"11,379,000",11379000
2021,FEB,STATE,55,6,TOTAL,"268,321,000",268321000
2021,JAN,STATE,6,6,TOTAL,"210,177,000",210177000
2021,JAN,STATE,16,6,TOTAL,"87,810,000",87810000
2021,JAN,STATE,17,6,TOTAL,"4,643,000",4643000
2021,JAN,STATE,19,6,TOTAL,"30,311,000",30311000
2021,JAN,STATE,27,6,TOTAL,"64,874,000",64874000
2021,JAN,STATE,34,6,TOTAL,"5,291,000",5291000
2021,JAN,STATE,35,6,TOTAL,"83,362,000",83362000
2021,JAN,STATE,36,6,TOTAL,"67,969,000",67969000
2021,JAN,STATE,39,6,TOTAL,"20,785,000",20785000
2021,JAN,STATE,,6,TOTAL,"190,287,000",190287000
2021,JAN,STATE,42,6,TOTAL,"36,533,000",36533000
2021,JAN,STATE,46,6,TOTAL,"42,161,000",42161000
2021,JAN,STATE,50,6,TOTAL,"12,848,000",12848000
2021,JAN,STATE,55,6,TOTAL,"285,901,000",285901000
2021,JUL,STATE,6,6,TOTAL,"202,860,000",202860000
2021,JUL,STATE,16,6,TOTAL,"86,160,000",86160000
2021,JUL,STATE,17,6,TOTAL,"5,546,000",5546000
2021,JUL,STATE,19,6,TOTAL,"27,594,000",27594000
2021,JUL,STATE,27,6,TOTAL,"65,302,000",65302000
2021,JUL,STATE,34,6,TOTAL,"4,705,000",4705000
2021,JUL,STATE,35,6,TOTAL,"80,099,000",80099000
2021,JUL,STATE,36,6,TOTAL,"62,154,000",62154000
2021,JUL,STATE,39,6,TOTAL,"20,627,000",20627000
2021,JUL,STATE,,6,TOTAL,"208,924,000",208924000
2021,JUL,STATE,42,6,TOTAL,"33,704,000",33704000
2021,JUL,STATE,46,6,TOTAL,"42,833,000",42833000
2021,JUL,STATE,50,6,TOTAL,"11,252,000",11252000
2021,JUL,STATE,55,6,TOTAL,"293,713,000",293713000
2021,JUN,STATE,6,6,TOTAL,"193,626,000",193626000
2021,JUN,STATE,16,6,TOTAL,"86,238,000",86238000
2021,JUN,STATE,17,6,TOTAL,"5,813,000",5813000
2021,JUN,STATE,19,6,TOTAL,"27,448,000",27448000
2021,JUN,STATE,27,6,TOTAL,"60,954,000",60954000
2021,JUN,STATE,34,6,TOTAL,"5,072,000",5072000
2021,JUN,STATE,35,6,TOTAL,"79,438,000",79438000
2021,JUN,STATE,36,6,TOTAL,"70,966,000",70966000
2021,JUN,STATE,39,6,TOTAL,"20,131,000",20131000
2021,JUN,STATE,,6,TOTAL,"202,940,000",202940000
2021,JUN,STATE,42,6,TOTAL,"30,266,000",30266000
2021,JUN,STATE,46,6,TOTAL,"40,186,000",40186000
2021,JUN,STATE,50,6,TOTAL,"11,651,000",11651000
2021,JUN,STATE,55,6,TOTAL,"291,783,000",291783000
2021,MAR,STATE,6,6,TOTAL,"210,779,000",210779000
2021,MAR,STATE,16,6,TOTAL,"90,183,000",90183000
2021,MAR,STATE,17,6,TOTAL,"6,200,000",6200000
2021,MAR,STATE,19,6,TOTAL,"27,874,000",27874000
2021,MAR,STATE,27,6,TOTAL,"65,896,000",65896000
2021,MAR,STATE,34,6,TOTAL,"5,519,000",5519000
2021,MAR,STATE,35,6,TOTAL,"82,826,000",82826000
2021,MAR,STATE,36,6,TOTAL,"75,327,000",75327000
2021,MAR,STATE,39,6,TOTAL,"20,908,000",20908000
2021,MAR,STATE,,6,TOTAL,"196,677,000",196677000
2021,MAR,STATE,42,6,TOTAL,"38,434,000",38434000
2021,MAR,STATE,46,6,TOTAL,"42,726,000",42726000
2021,MAR,STATE,50,6,TOTAL,"12,095,000",12095000
2021,MAR,STATE,55,6,TOTAL,"305,628,000",305628000
2021,MAY,STATE,6,6,TOTAL,"207,562,000",207562000
2021,MAY,STATE,16,6,TOTAL,"79,985,000",79985000
2021,MAY,STATE,17,6,TOTAL,"5,124,000",5124000
2021,MAY,STATE,19,6,TOTAL,"29,843,000",29843000
2021,MAY,STATE,27,6,TOTAL,"65,106,000",65106000
2021,MAY,STATE,34,6,TOTAL,"4,305,000",4305000
2021,MAY,STATE,35,6,TOTAL,"80,607,000",80607000
2021,MAY,STATE,36,6,TOTAL,"72,364,000",72364000
